neuron_id,method,x,y,cluster,d1,d2,d3,d4,d5,v,u,energy,spike_counter,io_role
4345628677,tsne,5.520931243896484,16.55637550354004,,5.0,8.0,5.0,3.0,1.0,-65.0,-13.0,1.0,0,internal
4345825283,tsne,5.90177583694458,19.013622283935547,,3.0,8.0,8.0,3.0,1.0,-65.0,-13.0,1.0,0,internal
4362077702,tsne,6.094974040985107,-4.583088397979736,,6.0,6.0,0.0,4.0,1.0,-65.0,-13.0,1.0,0,internal
4362143751,tsne,7.333532810211182,-4.538174152374268,,7.0,8.0,1.0,4.0,1.0,-65.0,-13.0,1.0,0,internal
4362338568,tsne,-8.63223648071289,-10.686249732971191,,8.0,1.0,4.0,4.0,1.0,-65.0,-13.0,1.0,0,internal
4362406152,tsne,6.735827922821045,3.014611005783081,,8.0,9.0,5.0,4.0,1.0,-65.0,-13.0,1.0,0,internal
4362536708,tsne,6.551372528076172,17.731904983520508,,4.0,7.0,7.0,4.0,1.0,-65.0,-13.0,1.0,0,internal
4362667781,tsne,7.092850685119629,16.988449096679688,,5.0,7.0,9.0,4.0,1.0,-65.0,-13.0,1.0,0,internal
4378919432,tsne,-9.859729766845703,-12.783610343933105,,8.0,2.0,1.0,5.0,1.0,-65.0,-13.0,1.0,0,internal
4379049984,tsne,-14.45761775970459,-17.627696990966797,,0.0,0.0,3.0,5.0,1.0,-65.0,-13.0,1.0,0,input
4379182337,tsne,-11.841299057006836,-3.2873146533966064,,1.0,5.0,5.0,5.0,1.0,-65.0,-13.0,1.0,0,internal
4379313667,tsne,7.065452575683594,18.70494842529297,,3.0,6.0,7.0,5.0,1.0,-65.0,-13.0,1.0,0,internal
4379443714,tsne,-9.662803649902344,0.9086293578147888,,2.0,2.0,9.0,5.0,1.0,-65.0,-13.0,1.0,0,internal
4395762176,tsne,-13.672531127929688,-18.27900505065918,,0.0,2.0,2.0,6.0,1.0,-65.0,-13.0,1.0,0,input
4395893765,tsne,-1.99258291721344,-3.9284658432006836,,5.0,4.0,4.0,6.0,1.0,-65.0,-13.0,1.0,0,internal
4396024840,tsne,-0.8892214298248291,-0.5608593225479126,,8.0,4.0,6.0,6.0,1.0,-65.0,-13.0,1.0,0,internal
4396221443,tsne,-8.92735767364502,0.4690265953540802,,3.0,4.0,9.0,6.0,1.0,-65.0,-13.0,1.0,0,internal
4412410119,tsne,7.2934651374816895,-6.7624311447143555,,7.0,9.0,0.0,7.0,1.0,-65.0,-13.0,1.0,0,internal
4412605188,tsne,-3.405548334121704,-4.473806381225586,,4.0,3.0,3.0,7.0,1.0,-65.0,-13.0,1.0,0,internal
4412736518,tsne,-2.198225498199463,-2.8015592098236084,,6.0,4.0,5.0,7.0,1.0,-65.0,-13.0,1.0,0,internal
4412803075,tsne,9.981463432312012,21.045753479003906,,3.0,8.0,6.0,7.0,1.0,-65.0,-13.0,1.0,0,internal
4412933639,tsne,-0.2982199490070343,3.013643503189087,,7.0,6.0,8.0,7.0,1.0,-65.0,-13.0,1.0,0,internal
4429185284,tsne,-9.271029472351074,-18.487024307250977,,4.0,1.0,0.0,8.0,1.0,-65.0,-13.0,1.0,0,internal
4429251843,tsne,8.41879653930664,-12.177993774414062,,3.0,5.0,1.0,8.0,1.0,-65.0,-13.0,1.0,0,internal
4429383426,tsne,10.324686050415039,-11.867958068847656,,2.0,7.0,3.0,8.0,1.0,-65.0,-13.0,1.0,0,internal
4429579528,tsne,-0.2991108298301697,0.7017616629600525,,8.0,5.0,6.0,8.0,1.0,-65.0,-13.0,1.0,0,internal
4429709573,tsne,-5.456281661987305,-0.12049303203821182,,5.0,1.0,8.0,8.0,1.0,-65.0,-13.0,1.0,0,internal
4429776901,tsne,9.899555206298828,14.282997131347656,,5.0,8.0,9.0,8.0,1.0,-65.0,-13.0,1.0,0,internal
4446093314,tsne,-10.891932487487793,-19.068288803100586,,2.0,0.0,2.0,9.0,1.0,-65.0,-13.0,1.0,0,internal
4446160129,tsne,9.862561225891113,-12.74819278717041,,1.0,5.0,3.0,9.0,1.0,-65.0,-13.0,1.0,0,internal
4446290948,tsne,-4.0743632316589355,-3.0246050357818604,,4.0,4.0,5.0,9.0,1.0,-65.0,-13.0,1.0,0,internal
4446356489,tsne,-0.4843681752681732,1.2426036596298218,,9.0,4.0,6.0,9.0,1.0,-65.0,-13.0,1.0,0,output
4446487303,tsne,-3.459365129470825,0.3913484811782837,,7.0,3.0,8.0,9.0,1.0,-65.0,-13.0,1.0,0,internal
8589934854,tsne,-14.901249885559082,-11.169472694396973,,6.0,1.0,0.0,0.0,2.0,-65.0,-13.0,1.0,0,internal
8590065927,tsne,-13.791862487792969,-11.137703895568848,,7.0,1.0,2.0,0.0,2.0,-65.0,-13.0,1.0,0,internal
8590131974,tsne,-14.017915725708008,-12.192867279052734,,6.0,3.0,3.0,0.0,2.0,-65.0,-13.0,1.0,0,internal
8590264072,tsne,4.837190628051758,10.432463645935059,,8.0,7.0,5.0,0.0,2.0,-65.0,-13.0,1.0,0,internal
8590459140,tsne,-25.457914352416992,5.396452903747559,,4.0,1.0,8.0,0.0,2.0,-65.0,-13.0,1.0,0,internal
8606713347,tsne,5.729410171508789,-2.378908395767212,,3.0,6.0,0.0,1.0,2.0,-65.0,-13.0,1.0,0,internal
8606910727,tsne,7.958706378936768,0.7728277444839478,,7.0,9.0,3.0,1.0,2.0,-65.0,-13.0,1.0,0,internal
8607105032,tsne,-27.857393264770508,1.1462591886520386,,8.0,0.0,6.0,1.0,2.0,-65.0,-13.0,1.0,0,internal
8607236610,tsne,-24.42860984802246,5.5392889976501465,,2.0,2.0,8.0,1.0,2.0,-65.0,-13.0,1.0,0,internal
8607302915,tsne,1.8855262994766235,17.219099044799805,,3.0,5.0,9.0,1.0,2.0,-65.0,-13.0,1.0,0,internal
8623620103,tsne,-12.503994941711426,-11.026934623718262,,7.0,0.0,2.0,2.0,2.0,-65.0,-13.0,1.0,0,internal
8623687689,tsne,7.144467353820801,1.479380488395691,,9.0,8.0,3.0,2.0,2.0,-65.0,-13.0,1.0,0,output
8623882244,tsne,-23.597583770751953,2.990797519683838,,4.0,0.0,6.0,2.0,2.0,-65.0,-13.0,1.0,0,internal
8623950080,tsne,5.0227861404418945,21.373798370361328,,0.0,9.0,7.0,2.0,2.0,-65.0,-13.0,1.0,0,input
8640266756,tsne,-16.89542579650879,-11.795992851257324,,4.0,2.0,0.0,3.0,2.0,-65.0,-13.0,1.0,0,internal
8640398598,tsne,4.462133407592773,-4.4191975593566895,,6.0,5.0,2.0,3.0,2.0,-65.0,-13.0,1.0,0,internal
8640594945,tsne,-12.68313217163086,-3.6181068420410156,,1.0,4.0,5.0,3.0,2.0,-65.0,-13.0,1.0,0,internal
8640724996,tsne,-23.723230361938477,3.291249990463257,,4.0,0.0,7.0,3.0,2.0,-65.0,-13.0,1.0,0,internal
8640792577,tsne,6.068748950958252,20.732271194458008,,1.0,8.0,8.0,3.0,2.0,-65.0,-13.0,1.0,0,internal
8657043463,tsne,-11.187369346618652,-13.090136528015137,,7.0,0.0,0.0,4.0,2.0,-65.0,-13.0,1.0,0,internal
8657110021,tsne,3.9460811614990234,-4.757870674133301,,5.0,4.0,1.0,4.0,2.0,-65.0,-13.0,1.0,0,internal
8657240583,tsne,-9.127734184265137,-10.149738311767578,,7.0,2.0,3.0,4.0,2.0,-65.0,-13.0,1.0,0,internal
8657306368,tsne,-12.769887924194336,-4.243058681488037,,0.0,3.0,4.0,4.0,2.0,-65.0,-13.0,1.0,0,input
8657437957,tsne,5.15869665145874,15.20152759552002,,5.0,5.0,6.0,4.0,2.0,-65.0,-13.0,1.0,0,internal
8657569537,tsne,6.995421409606934,20.684736251831055,,1.0,7.0,8.0,4.0,2.0,-65.0,-13.0,1.0,0,internal
8673822981,tsne,8.996687889099121,-5.569704055786133,,5.0,9.0,0.0,5.0,2.0,-65.0,-13.0,1.0,0,internal
8674017797,tsne,-8.47421932220459,-7.682657718658447,,5.0,2.0,3.0,5.0,2.0,-65.0,-13.0,1.0,0,internal
8674148869,tsne,-8.151711463928223,-6.760734558105469,,5.0,2.0,5.0,5.0,2.0,-65.0,-13.0,1.0,0,internal
8674214402,tsne,-10.780916213989258,-2.1293752193450928,,2.0,2.0,6.0,5.0,2.0,-65.0,-13.0,1.0,0,internal
8674281217,tsne,7.651540279388428,21.039552688598633,,1.0,7.0,7.0,5.0,2.0,-65.0,-13.0,1.0,0,internal
8690598144,tsne,-13.201593399047852,-18.58658790588379,,0.0,1.0,0.0,6.0,2.0,-65.0,-13.0,1.0,0,input
8690664964,tsne,9.150117874145508,-7.464919090270996,,4.0,6.0,1.0,6.0,2.0,-65.0,-13.0,1.0,0,internal
